                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.55651,                0.38281,                0.89332,                0.95302,                0.92526,                 0.9673,                0.83344,                0.54826,                0.33386,                0.84419,               0.006436,               0.006436,               0.006436
                     38,                0.55535,                0.38261,                  0.893,                0.95122,                0.92797,                0.96886,                0.83386,                0.54679,                0.33311,                 0.8438,               0.006337,               0.006337,               0.006337
                     39,                0.55609,                0.38036,                0.89335,                0.94977,                0.92689,                0.96873,                0.83328,                0.54938,                0.33184,                0.84421,               0.006238,               0.006238,               0.006238
                     40,                0.55243,                0.37765,                 0.8908,                0.95197,                0.92854,                0.96907,                0.83506,                0.54641,                0.32996,                0.84332,               0.006139,               0.006139,               0.006139
                     41,                0.55389,                0.37721,                0.89201,                0.94981,                0.92855,                0.96991,                 0.8364,                0.54281,                0.33031,                0.84542,                0.00604,                0.00604,                0.00604
                     42,                 0.5506,                0.37618,                0.89002,                0.95272,                 0.9285,                0.97004,                0.83676,                0.54361,                0.32645,                0.84053,               0.005941,               0.005941,               0.005941
                     43,                0.55266,                0.37744,                0.89213,                0.94935,                0.92882,                0.96961,                0.83631,                0.54567,                0.32727,                0.84167,               0.005842,               0.005842,               0.005842
                     44,                0.54823,                0.37201,                0.88913,                0.95044,                0.93146,                0.97002,                0.83649,                0.54343,                0.32568,                0.84053,               0.005743,               0.005743,               0.005743
                     45,                0.54774,                0.37407,                 0.8893,                0.95089,                0.92915,                0.97018,                0.83818,                0.54163,                0.32506,                0.84045,               0.005644,               0.005644,               0.005644
                     46,                0.54612,                0.37112,                0.88906,                0.94967,                0.92891,                0.96993,                0.83905,                 0.5407,                0.32489,                0.84234,               0.005545,               0.005545,               0.005545
                     47,                0.54336,                0.37084,                0.88827,                0.95287,                0.92971,                 0.9701,                0.83672,                0.54724,                0.32538,                 0.8391,               0.005446,               0.005446,               0.005446
                     48,                0.54586,                0.36801,                0.88695,                0.95107,                0.92953,                0.97041,                0.83841,                0.53982,                0.32349,                0.83863,               0.005347,               0.005347,               0.005347
                     49,                0.54335,                0.36651,                0.88695,                0.95114,                0.93149,                0.97118,                0.84004,                0.54007,                0.32073,                0.83526,               0.005248,               0.005248,               0.005248
                     50,                0.54531,                0.36798,                0.88811,                0.95156,                 0.9308,                  0.971,                0.84015,                0.53873,                0.32072,                0.83895,               0.005149,               0.005149,               0.005149
                     51,                0.54347,                0.36797,                0.88648,                0.95273,                0.92974,                0.97086,                0.83968,                0.53935,                0.32087,                0.83754,                0.00505,                0.00505,                0.00505
                     52,                0.54194,                0.36448,                0.88696,                0.95319,                0.93119,                0.97039,                0.83917,                0.54118,                0.32068,                0.84018,               0.004951,               0.004951,               0.004951
                     53,                0.54272,                0.36418,                0.88783,                0.95372,                0.93174,                0.97133,                0.84101,                0.54204,                0.31981,                0.83823,               0.004852,               0.004852,               0.004852
                     54,                0.53881,                0.36346,                0.88531,                0.95561,                0.93051,                 0.9718,                0.84193,                 0.5383,                0.31804,                0.83588,               0.004753,               0.004753,               0.004753
                     55,                 0.5391,                0.36274,                0.88481,                0.95354,                0.93227,                0.97137,                 0.8406,                0.53963,                0.31834,                0.83622,               0.004654,               0.004654,               0.004654
                     56,                0.53461,                0.35767,                0.88182,                0.95426,                0.93257,                0.97154,                0.84115,                0.53846,                0.31637,                0.83688,               0.004555,               0.004555,               0.004555
                     57,                  0.536,                0.35942,                0.88458,                0.95582,                0.93315,                  0.972,                0.84196,                0.53687,                0.31504,                0.83462,               0.004456,               0.004456,               0.004456
                     58,                0.53683,                0.35969,                0.88366,                0.95458,                0.93256,                0.97243,                0.84348,                0.53442,                0.31392,                0.83403,               0.004357,               0.004357,               0.004357
                     59,                0.53734,                0.36071,                0.88531,                0.95488,                 0.9343,                0.97251,                  0.842,                0.53844,                0.31465,                  0.835,               0.004258,               0.004258,               0.004258
                     60,                0.53352,                0.35682,                0.88313,                 0.9551,                0.93418,                0.97274,                0.84284,                0.53745,                0.31377,                0.83547,               0.004159,               0.004159,               0.004159
                     61,                0.53258,                0.35582,                0.88222,                0.95686,                 0.9314,                0.97226,                0.84322,                0.53649,                0.31282,                0.83391,                0.00406,                0.00406,                0.00406
                     62,                0.53167,                0.35445,                0.88167,                 0.9555,                 0.9347,                0.97272,                0.84266,                 0.5378,                 0.3133,                0.83367,               0.003961,               0.003961,               0.003961
                     63,                0.53084,                0.35321,                0.88157,                0.95562,                0.93296,                 0.9724,                0.84394,                0.53615,                0.31117,                0.83316,               0.003862,               0.003862,               0.003862
                     64,                0.52965,                0.35181,                0.88156,                0.95428,                0.93451,                 0.9727,                0.84393,                0.53587,                0.31098,                0.83357,               0.003763,               0.003763,               0.003763
                     65,                0.52747,                 0.3499,                0.88018,                0.95455,                0.93491,                0.97252,                0.84323,                 0.5351,                0.31124,                0.83159,               0.003664,               0.003664,               0.003664
                     66,                0.52749,                0.34928,                0.88044,                0.95525,                0.93451,                0.97276,                0.84449,                  0.534,                 0.3092,                0.83266,               0.003565,               0.003565,               0.003565
                     67,                0.52827,                 0.3514,                0.88119,                0.95526,                0.93451,                0.97264,                0.84437,                0.53459,                0.31024,                0.83441,               0.003466,               0.003466,               0.003466
                     68,                 0.5243,                0.34844,                0.87874,                0.95448,                 0.9343,                0.97288,                 0.8449,                0.53406,                0.30924,                0.83413,               0.003367,               0.003367,               0.003367
                     69,                0.52638,                0.34738,                0.87918,                0.95488,                0.93522,                0.97296,                0.84389,                0.53614,                0.31088,                0.83527,               0.003268,               0.003268,               0.003268
                     70,                0.52599,                0.34791,                0.87939,                0.95403,                 0.9368,                0.97279,                 0.8446,                0.53438,                0.30977,                0.83291,               0.003169,               0.003169,               0.003169
                     71,                0.52436,                0.34408,                0.87872,                0.95488,                 0.9358,                0.97284,                0.84517,                0.53366,                0.30787,                0.83273,                0.00307,                0.00307,                0.00307
                     72,                0.52522,                0.34593,                 0.8792,                0.95566,                0.93442,                0.97293,                0.84626,                0.53055,                0.30707,                0.83211,               0.002971,               0.002971,               0.002971
                     73,                0.52262,                0.34167,                0.87693,                0.95526,                0.93486,                0.97284,                0.84567,                0.53134,                0.30737,                0.82994,               0.002872,               0.002872,               0.002872
                     74,                0.52051,                0.34182,                0.87828,                0.95555,                0.93612,                0.97293,                0.84522,                0.53199,                0.30729,                0.82983,               0.002773,               0.002773,               0.002773
                     75,                0.51958,                0.34055,                0.87686,                0.95556,                 0.9363,                0.97306,                0.84498,                0.53341,                 0.3077,                 0.8321,               0.002674,               0.002674,               0.002674
                     76,                0.51858,                0.34018,                0.87576,                0.95656,                0.93531,                0.97301,                0.84561,                0.53265,                0.30717,                0.83051,               0.002575,               0.002575,               0.002575
